time,voc_message
1765294667852709053,Temp: 30.88 °C  Hum: 63.45%  VOC: 103.78 kΩ
1765294669221770833,Temp: 30.89 °C  Hum: 63.43%  VOC: 103.97 kΩ
1765294670590388985,Temp: 30.89 °C  Hum: 63.44%  VOC: 103.07 kΩ
1765294671959412246,Temp: 30.88 °C  Hum: 63.45%  VOC: 103.52 kΩ
1765294673328845932,Temp: 30.88 °C  Hum: 63.43%  VOC: 104.17 kΩ
1765294674697472177,Temp: 30.88 °C  Hum: 63.45%  VOC: 104.04 kΩ
1765294676066842900,Temp: 30.89 °C  Hum: 63.46%  VOC: 103.45 kΩ
1765294677435747680,Temp: 30.89 °C  Hum: 63.46%  VOC: 103.32 kΩ
1765294678804922941,Temp: 30.89 °C  Hum: 63.44%  VOC: 102.62 kΩ
1765294680173818814,Temp: 30.89 °C  Hum: 63.46%  VOC: 101.93 kΩ
1765294681542593447,Temp: 30.89 °C  Hum: 63.44%  VOC: 101.93 kΩ
1765294682911767430,Temp: 30.90 °C  Hum: 63.47%  VOC: 101.93 kΩ
1765294684280822543,Temp: 30.90 °C  Hum: 63.45%  VOC: 102.18 kΩ
1765294685649972656,Temp: 30.90 °C  Hum: 63.44%  VOC: 102.50 kΩ
1765294687018425864,Temp: 30.90 °C  Hum: 63.43%  VOC: 102.69 kΩ
1765294688387931864,Temp: 30.90 °C  Hum: 63.41%  VOC: 102.31 kΩ
1765294689756553627,Temp: 30.91 °C  Hum: 63.43%  VOC: 101.56 kΩ
1765294691125944202,Temp: 30.91 °C  Hum: 63.42%  VOC: 101.81 kΩ
1765294692494897167,Temp: 30.91 °C  Hum: 63.43%  VOC: 97.79 kΩ
1765294693864011947,Temp: 30.91 °C  Hum: 63.43%  VOC: 81.31 kΩ
1765294695233020819,Temp: 30.91 °C  Hum: 63.43%  VOC: 26.98 kΩ
1765294696601830674,Temp: 30.92 °C  Hum: 63.44%  VOC: 10.78 kΩ
1765294697970795862,Temp: 30.92 °C  Hum: 63.44%  VOC: 6.77 kΩ
1765294699340077752,Temp: 30.92 °C  Hum: 63.47%  VOC: 6.03 kΩ
1765294700708841051,Temp: 30.92 °C  Hum: 63.48%  VOC: 6.00 kΩ
1765294702077377518,Temp: 30.92 °C  Hum: 63.50%  VOC: 6.41 kΩ
1765294703446820797,Temp: 30.92 °C  Hum: 63.50%  VOC: 7.21 kΩ
1765294704815715855,Temp: 30.92 °C  Hum: 63.50%  VOC: 8.48 kΩ
1765294706184691357,Temp: 30.92 °C  Hum: 63.52%  VOC: 11.54 kΩ
