time,voc_message
1765289629871766741,Temp: 30.41 °C  Hum: 63.71%  VOC: 130.70 kΩ
1765289631240954886,Temp: 30.41 °C  Hum: 63.70%  VOC: 129.88 kΩ
1765289632609923866,Temp: 30.42 °C  Hum: 63.70%  VOC: 130.19 kΩ
1765289633979029641,Temp: 30.42 °C  Hum: 63.68%  VOC: 129.58 kΩ
1765289635348036323,Temp: 30.42 °C  Hum: 63.69%  VOC: 130.19 kΩ
1765289636716818100,Temp: 30.43 °C  Hum: 63.68%  VOC: 129.78 kΩ
1765289638086074059,Temp: 30.43 °C  Hum: 63.66%  VOC: 129.68 kΩ
1765289639455203945,Temp: 30.43 °C  Hum: 63.66%  VOC: 128.78 kΩ
1765289640823989740,Temp: 30.43 °C  Hum: 63.66%  VOC: 128.78 kΩ
1765289642193171718,Temp: 30.44 °C  Hum: 63.65%  VOC: 128.58 kΩ
1765289643562150975,Temp: 30.44 °C  Hum: 63.65%  VOC: 128.97 kΩ
1765289644930785197,Temp: 30.44 °C  Hum: 63.63%  VOC: 129.28 kΩ
1765289646300149471,Temp: 30.44 °C  Hum: 63.65%  VOC: 127.20 kΩ
1765289647669137802,Temp: 30.45 °C  Hum: 63.63%  VOC: 127.59 kΩ
1765289649038224317,Temp: 30.45 °C  Hum: 63.63%  VOC: 127.10 kΩ
1765289650407335778,Temp: 30.45 °C  Hum: 63.61%  VOC: 126.04 kΩ
1765289651776452608,Temp: 30.46 °C  Hum: 63.62%  VOC: 126.33 kΩ
1765289653145056755,Temp: 30.46 °C  Hum: 63.62%  VOC: 126.52 kΩ
1765289654514075327,Temp: 30.46 °C  Hum: 63.58%  VOC: 126.04 kΩ
1765289655883039806,Temp: 30.46 °C  Hum: 63.60%  VOC: 126.23 kΩ
1765289657252120470,Temp: 30.47 °C  Hum: 63.59%  VOC: 126.62 kΩ
1765289658621260560,Temp: 30.47 °C  Hum: 63.58%  VOC: 126.91 kΩ
1765289659990447335,Temp: 30.47 °C  Hum: 63.60%  VOC: 127.10 kΩ
1765289661359387555,Temp: 30.47 °C  Hum: 63.58%  VOC: 126.62 kΩ
1765289662729503826,Temp: 30.48 °C  Hum: 63.58%  VOC: 126.33 kΩ
1765289664097169254,Temp: 30.48 °C  Hum: 63.58%  VOC: 126.62 kΩ
1765289665466247159,Temp: 30.48 °C  Hum: 63.58%  VOC: 126.23 kΩ
1765289666835679600,Temp: 30.48 °C  Hum: 63.57%  VOC: 127.88 kΩ
1765289668204571616,Temp: 30.48 °C  Hum: 63.58%  VOC: 127.59 kΩ
1765289669573373707,Temp: 30.48 °C  Hum: 63.57%  VOC: 128.48 kΩ
1765289670942637907,Temp: 30.48 °C  Hum: 63.57%  VOC: 127.00 kΩ
1765289672311415980,Temp: 30.48 °C  Hum: 63.57%  VOC: 127.88 kΩ
1765289673680432626,Temp: 30.48 °C  Hum: 63.57%  VOC: 127.30 kΩ
1765289675049445957,Temp: 30.49 °C  Hum: 63.57%  VOC: 125.76 kΩ
1765289676418596398,Temp: 30.49 °C  Hum: 63.55%  VOC: 125.28 kΩ
1765289677787656414,Temp: 30.49 °C  Hum: 63.55%  VOC: 101.81 kΩ
1765289679156629356,Temp: 30.49 °C  Hum: 63.54%  VOC: 94.51 kΩ
1765289680525415503,Temp: 30.49 °C  Hum: 63.57%  VOC: 22.15 kΩ
1765289681894686462,Temp: 30.50 °C  Hum: 63.53%  VOC: 9.55 kΩ
1765289683263682404,Temp: 30.50 °C  Hum: 63.55%  VOC: 8.05 kΩ
1765289684632695920,Temp: 30.50 °C  Hum: 63.56%  VOC: 7.88 kΩ
1765289686001191512,Temp: 30.50 °C  Hum: 63.56%  VOC: 7.88 kΩ
