time,voc_message
1765296585528716903,Temp: 30.94 °C  Hum: 64.72%  VOC: 94.31 kΩ
1765296586528923117,Temp: 30.95 °C  Hum: 64.72%  VOC: 93.99 kΩ
1765296587528669517,Temp: 30.95 °C  Hum: 64.70%  VOC: 93.99 kΩ
1765296588581762888,Temp: 30.95 °C  Hum: 64.70%  VOC: 94.21 kΩ
1765296589950544043,Temp: 30.95 °C  Hum: 64.69%  VOC: 93.99 kΩ
1765296591320651600,Temp: 30.95 °C  Hum: 64.70%  VOC: 93.99 kΩ
1765296592688620629,Temp: 30.95 °C  Hum: 64.69%  VOC: 93.78 kΩ
1765296594057543876,Temp: 30.95 °C  Hum: 64.69%  VOC: 93.99 kΩ
1765296595426907603,Temp: 30.95 °C  Hum: 64.67%  VOC: 93.99 kΩ
1765296596796111609,Temp: 30.95 °C  Hum: 64.69%  VOC: 93.68 kΩ
1765296598164943875,Temp: 30.96 °C  Hum: 64.69%  VOC: 93.99 kΩ
1765296599533718697,Temp: 30.96 °C  Hum: 64.68%  VOC: 93.57 kΩ
1765296600902734888,Temp: 30.96 °C  Hum: 64.67%  VOC: 93.78 kΩ
1765296602272052374,Temp: 30.96 °C  Hum: 64.66%  VOC: 93.36 kΩ
1765296603640852326,Temp: 30.96 °C  Hum: 64.66%  VOC: 93.68 kΩ
1765296605010139942,Temp: 30.96 °C  Hum: 64.67%  VOC: 93.36 kΩ
1765296606378702672,Temp: 30.96 °C  Hum: 64.65%  VOC: 93.78 kΩ
1765296607747964214,Temp: 30.97 °C  Hum: 64.64%  VOC: 93.57 kΩ
1765296609116941405,Temp: 30.97 °C  Hum: 64.65%  VOC: 93.89 kΩ
1765296610486028393,Temp: 30.96 °C  Hum: 64.64%  VOC: 94.21 kΩ
1765296611856457337,Temp: 30.96 °C  Hum: 64.63%  VOC: 94.74 kΩ
1765296613224094534,Temp: 30.96 °C  Hum: 64.65%  VOC: 95.07 kΩ
1765296614592695098,Temp: 30.96 °C  Hum: 64.78%  VOC: 95.84 kΩ
1765296615961852862,Temp: 30.96 °C  Hum: 64.87%  VOC: 95.51 kΩ
1765296617330991738,Temp: 30.95 °C  Hum: 64.97%  VOC: 94.57 kΩ
1765296618699971596,Temp: 30.95 °C  Hum: 65.05%  VOC: 95.73 kΩ
1765296620069155250,Temp: 30.94 °C  Hum: 65.13%  VOC: 95.27 kΩ
1765296621438130367,Temp: 30.94 °C  Hum: 65.20%  VOC: 95.27 kΩ
1765296622808914255,Temp: 30.94 °C  Hum: 65.23%  VOC: 95.38 kΩ
1765296624176253305,Temp: 30.94 °C  Hum: 65.27%  VOC: 94.41 kΩ
1765296625545152830,Temp: 30.93 °C  Hum: 65.30%  VOC: 95.71 kΩ
1765296626914153244,Temp: 30.93 °C  Hum: 65.32%  VOC: 95.38 kΩ
