time,voc_message
1765291464353947478,Temp: 30.33 °C  Hum: 62.99%  VOC: 114.65 kΩ
1765291465723287665,Temp: 30.33 °C  Hum: 62.97%  VOC: 114.26 kΩ
1765291467092131576,Temp: 30.33 °C  Hum: 62.97%  VOC: 114.10 kΩ
1765291468461363005,Temp: 30.33 °C  Hum: 62.98%  VOC: 113.95 kΩ
1765291469830104490,Temp: 30.33 °C  Hum: 63.00%  VOC: 113.64 kΩ
1765291471198870957,Temp: 30.33 °C  Hum: 62.98%  VOC: 112.48 kΩ
1765291472567961534,Temp: 30.33 °C  Hum: 62.98%  VOC: 112.71 kΩ
1765291473937024130,Temp: 30.33 °C  Hum: 62.98%  VOC: 112.18 kΩ
1765291475306439484,Temp: 30.33 °C  Hum: 62.99%  VOC: 111.95 kΩ
1765291476677482443,Temp: 30.33 °C  Hum: 62.98%  VOC: 111.65 kΩ
1765291478044466990,Temp: 30.34 °C  Hum: 63.00%  VOC: 111.88 kΩ
1765291479413158217,Temp: 30.34 °C  Hum: 62.99%  VOC: 112.10 kΩ
1765291480782460552,Temp: 30.34 °C  Hum: 62.98%  VOC: 112.94 kΩ
1765291482153639974,Temp: 30.34 °C  Hum: 62.98%  VOC: 112.18 kΩ
1765291483520490466,Temp: 30.34 °C  Hum: 62.98%  VOC: 111.20 kΩ
1765291484889174359,Temp: 30.34 °C  Hum: 62.99%  VOC: 59.92 kΩ
1765291486257985196,Temp: 30.34 °C  Hum: 63.00%  VOC: 15.16 kΩ
1765291487627234291,Temp: 30.34 °C  Hum: 63.01%  VOC: 9.67 kΩ
1765291488996087925,Temp: 30.34 °C  Hum: 63.11%  VOC: 9.17 kΩ
1765291490365611630,Temp: 30.35 °C  Hum: 63.23%  VOC: 9.73 kΩ
1765291491734363023,Temp: 30.35 °C  Hum: 63.36%  VOC: 10.52 kΩ
1765291493103156805,Temp: 30.35 °C  Hum: 63.46%  VOC: 11.54 kΩ
1765291494472246196,Temp: 30.35 °C  Hum: 63.56%  VOC: 11.83 kΩ
1765291495841191163,Temp: 30.35 °C  Hum: 63.63%  VOC: 10.98 kΩ
1765291497210360017,Temp: 30.35 °C  Hum: 63.68%  VOC: 11.19 kΩ
1765291498581531624,Temp: 30.35 °C  Hum: 63.71%  VOC: 11.32 kΩ
1765291499949091929,Temp: 30.35 °C  Hum: 63.71%  VOC: 11.50 kΩ
1765291501317120028,Temp: 30.36 °C  Hum: 63.69%  VOC: 11.67 kΩ
1765291502686137142,Temp: 30.36 °C  Hum: 63.67%  VOC: 11.88 kΩ
1765291504056177586,Temp: 30.36 °C  Hum: 63.65%  VOC: 12.19 kΩ
1765291505424735535,Temp: 30.36 °C  Hum: 63.62%  VOC: 14.04 kΩ
1765291506794687313,Temp: 30.36 °C  Hum: 63.56%  VOC: 15.37 kΩ
1765291508163754038,Temp: 30.36 °C  Hum: 63.51%  VOC: 15.95 kΩ
1765291509532396080,Temp: 30.36 °C  Hum: 63.49%  VOC: 16.22 kΩ
1765291510900304902,Temp: 30.36 °C  Hum: 63.45%  VOC: 16.70 kΩ
1765291512269463941,Temp: 30.36 °C  Hum: 63.43%  VOC: 17.07 kΩ
1765291513638655462,Temp: 30.36 °C  Hum: 63.39%  VOC: 17.35 kΩ
1765291515007761521,Temp: 30.36 °C  Hum: 63.36%  VOC: 17.91 kΩ
1765291516376570080,Temp: 30.36 °C  Hum: 63.35%  VOC: 17.94 kΩ
1765291517745167326,Temp: 30.36 °C  Hum: 63.33%  VOC: 17.67 kΩ
1765291519114554624,Temp: 30.36 °C  Hum: 63.31%  VOC: 18.57 kΩ
1765291520483408239,Temp: 30.36 °C  Hum: 63.30%  VOC: 20.51 kΩ
1765291521853530275,Temp: 30.36 °C  Hum: 63.27%  VOC: 21.29 kΩ
