time,voc_message
1765288593526947682,Temp: 30.36 °C  Hum: 63.14%  VOC: 120.47 kΩ
1765288594895534033,Temp: 30.36 °C  Hum: 63.15%  VOC: 121.08 kΩ
1765288596264746474,Temp: 30.36 °C  Hum: 63.14%  VOC: 120.91 kΩ
1765288597633211807,Temp: 30.36 °C  Hum: 63.15%  VOC: 120.56 kΩ
1765288599002387156,Temp: 30.36 °C  Hum: 63.14%  VOC: 120.30 kΩ
1765288600371610505,Temp: 30.36 °C  Hum: 63.16%  VOC: 120.12 kΩ
1765288601740755631,Temp: 30.37 °C  Hum: 63.15%  VOC: 120.82 kΩ
1765288603109713055,Temp: 30.36 °C  Hum: 63.14%  VOC: 120.73 kΩ
1765288604478833848,Temp: 30.37 °C  Hum: 63.14%  VOC: 120.64 kΩ
1765288605847748920,Temp: 30.37 °C  Hum: 63.15%  VOC: 119.17 kΩ
1765288607216501789,Temp: 30.37 °C  Hum: 63.15%  VOC: 119.35 kΩ
1765288608585718379,Temp: 30.37 °C  Hum: 63.13%  VOC: 119.35 kΩ
1765288609956656610,Temp: 30.38 °C  Hum: 63.14%  VOC: 119.17 kΩ
1765288611323852096,Temp: 30.38 °C  Hum: 63.14%  VOC: 118.58 kΩ
1765288612692933315,Temp: 30.38 °C  Hum: 63.13%  VOC: 117.74 kΩ
1765288614061989202,Temp: 30.39 °C  Hum: 63.10%  VOC: 117.66 kΩ
1765288615432143732,Temp: 30.39 °C  Hum: 63.12%  VOC: 116.18 kΩ
1765288616799622642,Temp: 30.39 °C  Hum: 63.11%  VOC: 116.75 kΩ
1765288618169135175,Temp: 30.40 °C  Hum: 63.10%  VOC: 115.93 kΩ
1765288619537862285,Temp: 30.40 °C  Hum: 63.09%  VOC: 115.69 kΩ
1765288620907011856,Temp: 30.40 °C  Hum: 63.09%  VOC: 115.93 kΩ
1765288622275844410,Temp: 30.40 °C  Hum: 63.09%  VOC: 115.61 kΩ
1765288623644796371,Temp: 30.40 °C  Hum: 63.07%  VOC: 115.37 kΩ
1765288625013883924,Temp: 30.40 °C  Hum: 63.08%  VOC: 115.37 kΩ
1765288626382902995,Temp: 30.41 °C  Hum: 63.07%  VOC: 114.73 kΩ
1765288627752069140,Temp: 30.41 °C  Hum: 63.07%  VOC: 115.13 kΩ
1765288629121064453,Temp: 30.41 °C  Hum: 63.05%  VOC: 114.10 kΩ
1765288630489878192,Temp: 30.41 °C  Hum: 63.05%  VOC: 114.34 kΩ
1765288631858778912,Temp: 30.41 °C  Hum: 63.05%  VOC: 114.10 kΩ
1765288633227865724,Temp: 30.42 °C  Hum: 63.04%  VOC: 114.10 kΩ
1765288634597191869,Temp: 30.42 °C  Hum: 63.04%  VOC: 113.33 kΩ
1765288635966109015,Temp: 30.42 °C  Hum: 63.05%  VOC: 113.64 kΩ
1765288637335262234,Temp: 30.42 °C  Hum: 63.04%  VOC: 112.79 kΩ
1765288638705412635,Temp: 30.42 °C  Hum: 63.04%  VOC: 114.50 kΩ
1765288640073116100,Temp: 30.42 °C  Hum: 63.04%  VOC: 114.42 kΩ
1765288641442228060,Temp: 30.42 °C  Hum: 63.03%  VOC: 114.34 kΩ
1765288642811874945,Temp: 30.42 °C  Hum: 63.03%  VOC: 113.87 kΩ
1765288644180311926,Temp: 30.43 °C  Hum: 63.04%  VOC: 113.02 kΩ
1765288645549474163,Temp: 30.43 °C  Hum: 63.03%  VOC: 113.79 kΩ
1765288646918205718,Temp: 30.43 °C  Hum: 63.02%  VOC: 112.41 kΩ
1765288648287133438,Temp: 30.43 °C  Hum: 63.02%  VOC: 112.03 kΩ
1765288649656286787,Temp: 30.43 °C  Hum: 63.02%  VOC: 112.48 kΩ
1765288651025219673,Temp: 30.43 °C  Hum: 63.03%  VOC: 111.88 kΩ
1765288652394363985,Temp: 30.43 °C  Hum: 63.01%  VOC: 110.98 kΩ
1765288653762847485,Temp: 30.44 °C  Hum: 63.01%  VOC: 90.61 kΩ
1765288655132396610,Temp: 30.44 °C  Hum: 63.01%  VOC: 66.80 kΩ
1765288656501299849,Temp: 30.44 °C  Hum: 63.02%  VOC: 58.98 kΩ
1765288657870316050,Temp: 30.44 °C  Hum: 63.03%  VOC: 56.88 kΩ
1765288659239438547,Temp: 30.44 °C  Hum: 63.03%  VOC: 56.38 kΩ
1765288660608295249,Temp: 30.44 °C  Hum: 63.02%  VOC: 56.30 kΩ
1765288661977135488,Temp: 30.44 °C  Hum: 63.03%  VOC: 56.77 kΩ
1765288663346463947,Temp: 30.44 °C  Hum: 63.03%  VOC: 58.65 kΩ
1765288664715372556,Temp: 30.45 °C  Hum: 63.02%  VOC: 60.66 kΩ
1765288666084125314,Temp: 30.45 °C  Hum: 63.01%  VOC: 63.53 kΩ
1765288667453333070,Temp: 30.45 °C  Hum: 63.01%  VOC: 65.74 kΩ
1765288668822666715,Temp: 30.45 °C  Hum: 63.01%  VOC: 67.67 kΩ
1765288670191948971,Temp: 30.45 °C  Hum: 63.01%  VOC: 68.00 kΩ
1765288671560457192,Temp: 30.45 °C  Hum: 63.01%  VOC: 67.12 kΩ
1765288672929195820,Temp: 30.45 °C  Hum: 63.00%  VOC: 67.23 kΩ
1765288674298468650,Temp: 30.45 °C  Hum: 63.01%  VOC: 64.72 kΩ
