time,pm_message
1765267314266586768,PM1.0: 33  PM2.5: 56  PM10: 68
1765267315313037211,PM1.0: 33  PM2.5: 56  PM10: 67
1765267316360133319,PM1.0: 33  PM2.5: 56  PM10: 67
1765267317407385945,PM1.0: 33  PM2.5: 56  PM10: 67
1765267318454761793,PM1.0: 33  PM2.5: 56  PM10: 67
1765267319502018623,PM1.0: 33  PM2.5: 56  PM10: 67
1765267320550326338,PM1.0: 33  PM2.5: 56  PM10: 67
1765267321596070025,PM1.0: 33  PM2.5: 56  PM10: 67
1765267322643333595,PM1.0: 33  PM2.5: 56  PM10: 67
1765267323691029683,PM1.0: 32  PM2.5: 55  PM10: 66
1765267324738865677,PM1.0: 32  PM2.5: 55  PM10: 67
1765267325785578620,PM1.0: 32  PM2.5: 55  PM10: 67
1765267326833137411,PM1.0: 33  PM2.5: 55  PM10: 67
1765267327879934391,PM1.0: 33  PM2.5: 55  PM10: 67
1765267328927150035,PM1.0: 33  PM2.5: 56  PM10: 67
1765267329974302421,PM1.0: 34  PM2.5: 57  PM10: 68
1765267331021639380,PM1.0: 34  PM2.5: 57  PM10: 68
1765267332068653451,PM1.0: 34  PM2.5: 57  PM10: 68
1765267333116249483,PM1.0: 34  PM2.5: 56  PM10: 68
1765267334163649905,PM1.0: 34  PM2.5: 56  PM10: 68
1765267335210617365,PM1.0: 34  PM2.5: 56  PM10: 68
1765267336258085676,PM1.0: 33  PM2.5: 55  PM10: 67
1765267337304976192,PM1.0: 32  PM2.5: 55  PM10: 67
1765267338352376799,PM1.0: 32  PM2.5: 56  PM10: 67
1765267339399739295,PM1.0: 32  PM2.5: 56  PM10: 67
1765267340446755551,PM1.0: 32  PM2.5: 56  PM10: 67
1765267341493689734,PM1.0: 33  PM2.5: 57  PM10: 68
1765267342541122304,PM1.0: 33  PM2.5: 57  PM10: 68
1765267343589077409,PM1.0: 33  PM2.5: 58  PM10: 69
1765267344636072758,PM1.0: 32  PM2.5: 57  PM10: 68
1765267345683318606,PM1.0: 32  PM2.5: 57  PM10: 68
1765267346730421140,PM1.0: 32  PM2.5: 57  PM10: 68
1765267347777563804,PM1.0: 32  PM2.5: 57  PM10: 68
